func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
ServerView.inputChanged,131,0.9422653576238128,0.8385667204856873,0.7525818347930908,0.9226776469317224,0.975395917892456,0.968056321144104,0.975395917892456,0.833486795425415,0.9757161736488342,0.9773995280265808,0.9424137473106384
ParallelStreamReader.performReads,109,0.8430380824881327,0.7864190936088562,0.7770166993141174,0.7663458423900187,0.7699716687202454,0.7578526735305786,0.8102364540100098,0.7895307540893555,0.8106732964515686,0.8002479076385498,0.8170743584632874
WorkbenchPanel.setPanelsVisible,125,0.8661879476869722,0.8200523853302002,0.9424524307250977,0.999898115202952,0.9430782198905945,0.9999237060546875,1.0000001192092896,1.0000001192092896,0.9999237060546875,0.9999237060546875,0.9999237060546875
SubWriterHolderWriter.addInheritedSummaryHeader,140,0.9831024986447402,0.9775587320327759,0.9775587320327759,0.9915232436492458,0.9775883555412292,0.9773464798927307,0.9775883555412292,0.9775883555412292,0.9773464798927307,0.9773464798927307,0.9773464798927307
AggregateOperationFactory.createResolvedWindow,123,0.9109594894608012,0.9395670890808105,0.948189914226532,0.9451671192569684,0.9455369710922241,0.9436989426612854,0.938960611820221,0.937449038028717,0.9388629198074341,0.945793092250824,0.9476684331893921
RythmEngine.createEngine,119,0.8399917542198745,0.9317725896835327,0.9515059590339661,0.9532070628754343,0.9595640897750854,0.9764775037765503,0.9742200374603271,0.9736841320991516,0.9730520248413086,0.9735881090164185,0.9643023014068604
AbstractMTreeNode.integrityCheck,65,0.7667307998322116,0.8902372717857361,0.8341712951660156,0.8996759996693948,0.7469618916511536,0.8571040630340576,0.8455721735954285,0.8633012175559998,0.8398292064666748,0.8493446707725525,0.7983077764511108
ExampleTemplateMatching.showMatchIntensity,93,0.8888115371152644,0.9229722023010254,0.9615722894668579,0.9570389215369933,0.9539855122566223,0.9386355876922607,0.9634266495704651,0.9564388990402222,0.9692151546478271,0.9610480070114136,0.9610110521316528
URI.indexFirstOf,156,0.9295475791881566,0.9313250780105591,0.9296777844429016,0.9853717711620954,0.9296777844429016,0.9296777844429016,0.9296777844429016,0.9850847125053406,0.9850847125053406,0.9850847125053406,0.9854170083999634
CmsHistoryProject.getPublishedByName,75,0.9166422105515596,0.9427727460861206,1.0,0.8767607215205243,0.9998922348022461,1.0,0.9998922348022461,0.9998921751976013,1.0,1.0,0.9417600631713867
MatchOps.makeRef,104,0.8350321199725107,0.9875650405883789,0.9872368574142456,0.998102452874542,0.9891699552536011,0.9875650405883789,0.9855166077613831,0.9829405546188354,0.9890913963317871,0.9890913963317871,0.9890913963317871
MemoryFileManager.hasLocation,158,0.8429253297774113,0.9837682247161865,0.9978659152984619,0.9837452617964826,0.9978659152984619,0.9978659152984619,0.984377920627594,0.9916678667068481,0.9980641007423401,0.9980641007423401,0.9978659152984619
CmsObject.loginUser,134,0.7284468795685267,0.8273198008537292,0.8259961009025574,0.8336573698826573,0.8574804663658142,0.8829561471939087,0.8745434880256653,0.8709354400634766,0.8664900064468384,0.8374022841453552,0.8455760478973389
AsyncLoggerSet.waitForWriteQuorum,129,0.9262543578354256,0.9430075883865356,0.8569006323814392,0.8968820339899022,0.8962031602859497,0.8953121304512024,0.8962031602859497,0.8962031602859497,0.8953121304512024,0.8953121304512024,0.8561524748802185
Start.begin,66,0.8540406523100874,0.8542420864105225,0.8540407419204712,0.9515569405242452,0.8542420864105225,0.8695889711380005,0.8542420864105225,0.8382009267807007,0.8390536904335022,0.8390536904335022,0.8390536904335022
BaseAsymmetric.initKeys,96,0.8829776076234045,0.8683964610099792,0.8562189936637878,0.8788412047600513,0.8842687010765076,0.8951470851898193,0.9999260306358337,1.0,0.9796931743621826,0.9999260306358337,1.0
CatGenConfigMetadataFactory.readDatasetFilterElement,7,0.9221678437930882,0.921634316444397,0.9258087873458862,0.94746912022688,0.9280946254730225,0.9235074520111084,0.9123570919036865,0.9200006723403931,0.9092600345611572,0.9131226539611816,0.9124858379364014
GeneralPurposeFFT_F32_1D.realForwardFull,68,0.7993567687936233,0.9736700654029846,0.9420041441917419,0.9392602044254065,0.9710224866867065,0.9685293436050415,0.959942638874054,0.9620044231414795,0.9620044231414795,0.965228796005249,0.9574410915374756
HttpPrefixFetchFilter.normalisedPort,145,0.9122123641745642,0.8555285334587097,0.9109346866607666,0.911383146658297,0.8696202039718628,0.9076135754585266,0.9110913276672363,0.9109209179878235,0.9109209179878235,0.9109209179878235,0.9110913276672363
JavacParser.enumeratorDeclaration,25,0.8773306437857494,0.8911319375038147,0.9327074885368347,0.9278298168455674,0.8715614676475525,0.8838064074516296,0.9250905513763428,0.8451898097991943,0.8917096257209778,0.874832034111023,0.8503547310829163
Formatter.formatMessage,132,0.9221800915282659,0.8836478590965271,0.9179235696792603,0.909527230651127,0.9179235696792603,0.9224135875701904,0.8830994963645935,0.9236907958984375,0.9267239570617676,0.9430772662162781,0.9194578528404236
